iter	Passed	Remaining
0	143	142996
1	144	72330
2	146	48784
3	149	37117
4	150	30020
5	152	25306
6	155	22051
7	157	19590
8	160	17678
9	162	16071
10	164	14766
11	166	13697
12	168	12789
13	170	12014
14	173	11373
15	174	10761
16	177	10257
17	179	9813
18	182	9431
19	184	9046
20	186	8711
21	188	8395
22	191	8120
23	192	7847
24	194	7596
25	197	7406
26	199	7187
27	201	6984
28	203	6814
29	205	6638
30	207	6489
31	210	6364
32	212	6225
33	214	6100
34	216	5971
35	218	5858
36	220	5740
37	222	5637
38	224	5531
39	226	5444
40	228	5350
41	231	5271
42	233	5199
43	235	5112
44	237	5033
45	239	4957
46	241	4900
47	243	4827
48	245	4767
49	248	4712
50	250	4655
51	252	4605
52	254	4546
53	256	4493
54	258	4445
55	260	4393
56	262	4340
57	264	4298
58	266	4254
59	268	4207
60	270	4163
61	272	4125
62	274	4083
63	276	4040
64	278	4002
65	280	3970
66	282	3936
67	283	3886
68	285	3850
69	287	3819
70	289	3790
71	291	3756
72	293	3723
73	295	3696
74	297	3667
75	300	3648
76	301	3618
77	303	3588
78	306	3569
79	308	3545
80	310	3518
81	312	3498
82	315	3484
83	317	3466
84	319	3437
85	321	3418
86	323	3390
87	325	3371
88	327	3352
89	329	3329
90	331	3312
91	333	3294
92	335	3273
93	337	3257
94	339	3238
95	341	3219
96	343	3198
97	345	3178
98	347	3159
99	349	3143
100	351	3126
101	352	3101
102	354	3085
103	356	3070
104	358	3054
105	360	3037
106	361	3020
107	364	3006
108	365	2990
109	367	2974
110	369	2959
111	372	2950
112	373	2934
113	375	2920
114	377	2908
115	379	2890
116	381	2880
117	383	2869
118	385	2855
119	387	2843
120	390	2836
121	392	2822
122	393	2803
123	394	2790
124	396	2777
125	399	2770
126	401	2757
127	402	2743
128	404	2731
129	406	2718
130	408	2708
131	410	2698
132	413	2694
133	415	2682
134	417	2674
135	419	2666
136	421	2657
137	423	2644
138	425	2633
139	427	2624
140	429	2614
141	431	2605
142	432	2594
143	434	2584
144	436	2573
145	438	2565
146	440	2558
147	443	2550
148	444	2540
149	447	2535
150	449	2527
151	451	2517
152	452	2507
153	454	2498
154	457	2493
155	459	2487
156	461	2479
157	463	2471
158	465	2463
159	467	2455
160	469	2448
161	471	2440
162	473	2431
163	475	2426
164	478	2419
165	479	2410
166	481	2402
167	483	2394
168	485	2388
169	488	2383
170	490	2377
171	492	2369
172	494	2362
173	495	2354
174	498	2349
175	500	2342
176	502	2335
177	504	2328
178	505	2320
179	508	2315
180	509	2304
181	511	2298
182	513	2292
183	516	2288
184	517	2281
185	519	2275
186	521	2268
187	524	2263
188	526	2257
189	528	2251
190	530	2245
191	532	2239
192	533	2231
193	535	2225
194	537	2219
195	540	2215
196	542	2210
197	544	2206
198	546	2199
199	548	2194
200	550	2190
201	553	2185
202	554	2178
203	557	2174
204	559	2168
205	560	2161
206	562	2155
207	564	2149
208	566	2144
209	568	2137
210	570	2132
211	572	2126
212	574	2123
213	577	2119
214	578	2113
215	580	2107
216	583	2103
217	586	2102
218	588	2098
219	590	2092
220	591	2086
221	593	2080
222	595	2074
223	597	2068
224	599	2065
225	601	2061
226	603	2055
227	605	2049
228	607	2044
229	609	2038
230	610	2033
231	613	2030
232	615	2025
233	617	2021
234	619	2015
235	621	2011
236	623	2007
237	626	2005
238	628	2000
239	629	1994
240	631	1990
241	633	1984
242	635	1979
243	637	1974
244	639	1970
245	642	1967
246	644	1965
247	646	1960
248	648	1956
249	650	1952
250	652	1947
251	654	1943
252	657	1941
253	659	1936
254	661	1932
255	663	1927
256	665	1922
257	667	1918
258	669	1914
259	671	1910
260	673	1906
261	675	1902
262	677	1897
263	679	1893
264	681	1888
265	682	1884
266	685	1880
267	687	1877
268	688	1872
269	691	1868
270	693	1864
271	695	1860
272	696	1855
273	699	1852
274	701	1849
275	703	1845
276	705	1841
277	707	1837
278	709	1833
279	711	1830
280	713	1826
281	716	1823
282	718	1819
283	720	1815
284	722	1811
285	724	1808
286	728	1809
287	731	1807
288	733	1804
289	735	1801
290	739	1801
291	742	1801
292	746	1800
293	749	1798
294	751	1796
295	754	1794
296	757	1792
297	759	1789
298	762	1787
299	767	1791
300	771	1791
301	774	1790
302	778	1791
303	781	1788
304	784	1786
305	786	1784
306	789	1782
307	792	1779
308	794	1776
309	797	1774
310	800	1772
311	803	1770
312	805	1768
313	808	1767
314	818	1779
315	821	1777
316	824	1776
317	833	1788
318	838	1790
319	841	1787
320	843	1784
321	847	1784
322	851	1784
323	855	1784
324	861	1790
325	864	1787
326	867	1784
327	870	1782
328	872	1780
329	875	1777
330	877	1773
331	879	1769
332	882	1766
333	884	1763
334	886	1760
335	888	1756
336	891	1753
337	895	1754
338	899	1753
339	901	1750
340	903	1746
341	907	1745
342	910	1744
343	913	1741
344	919	1746
345	922	1744
346	925	1742
347	929	1740
348	931	1737
349	933	1734
350	936	1732
351	939	1730
352	942	1727
353	946	1727
354	952	1730
355	955	1727
356	957	1725
357	960	1722
358	962	1718
359	964	1715
360	966	1711
361	969	1708
362	972	1706
363	975	1703
364	977	1700
365	979	1696
366	982	1694
367	985	1691
368	987	1689
369	990	1686
370	993	1684
371	997	1683
372	1000	1681
373	1002	1678
374	1005	1675
375	1007	1672
376	1010	1669
377	1013	1666
378	1015	1664
379	1019	1662
380	1022	1661
381	1028	1663
382	1030	1660
383	1033	1658
384	1036	1655
385	1038	1651
386	1040	1648
387	1042	1644
